Player,Position,Age,Team,Games Played,Games Started,Min Played,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,General Position,Numbered Position,A:T Ratio,Blocks Per Game,TO:MP Ratio
Tyler Johnson,PG,24,MIA,73,0,2178,357,824,0.433,93,250,0.372,264,574,0.46,0.49,195,254,0.768,50,243,293,233,84,44,90,176,1002,G,1,2.58888888889,0.602739726027,0.0413223140496
Tyler Ulis,PG,21,PHO,61,15,1123,184,437,0.421,21,79,0.266,163,358,0.455,0.445,55,71,0.775,20,75,95,226,48,5,77,73,444,G,1,2.93506493506,0.0819672131148,0.0685663401603
Tyler Zeller,C,27,BOS,51,5,525,78,158,0.494,0,1,0.0,78,157,0.497,0.494,22,39,0.564,43,81,124,42,7,21,20,61,178,C,5,2.1,0.411764705882,0.0380952380952
Tyreke Evans,SF,27,TOT,40,6,788,150,370,0.405,42,118,0.356,108,252,0.429,0.462,69,92,0.75,13,124,137,124,35,9,61,60,411,F,3,2.03278688525,0.225,0.0774111675127
Tyson Chandler,C,34,PHO,47,46,1298,153,228,0.671,0,0,,153,228,0.671,0.671,91,124,0.734,153,386,539,30,33,24,65,126,397,C,5,0.461538461538,0.510638297872,0.0500770416025
Tyus Jones,PG,20,MIN,60,0,774,75,181,0.414,26,73,0.356,49,108,0.454,0.486,33,43,0.767,10,57,67,156,48,5,38,50,209,G,1,4.10526315789,0.0833333333333,0.0490956072351
Victor Oladipo,SG,24,OKC,67,67,2222,412,932,0.442,127,352,0.361,285,580,0.491,0.51,116,154,0.753,39,252,291,176,78,21,119,155,1067,G,2,1.47899159664,0.313432835821,0.0535553555356
Vince Carter,SF,40,MEM,73,15,1799,193,490,0.394,112,296,0.378,81,194,0.418,0.508,88,115,0.765,36,191,227,133,60,36,50,163,586,F,3,2.66,0.493150684932,0.0277932184547
Wade Baldwin,PG,20,MEM,33,1,405,36,115,0.313,3,22,0.136,33,93,0.355,0.326,31,37,0.838,11,35,46,61,18,7,39,40,106,G,1,1.5641025641,0.212121212121,0.0962962962963
Wayne Ellington,SG,29,MIA,62,13,1500,231,555,0.416,149,394,0.378,82,161,0.509,0.55,37,43,0.86,18,114,132,70,35,4,30,70,648,G,2,2.33333333333,0.0645161290323,0.02
Wesley Johnson,SF,29,LAC,68,3,810,73,200,0.365,29,118,0.246,44,82,0.537,0.438,11,17,0.647,26,155,181,23,29,30,18,83,186,F,3,1.27777777778,0.441176470588,0.0222222222222
Wesley Matthews,SG,30,DAL,73,73,2495,333,847,0.393,174,479,0.363,159,368,0.432,0.496,146,179,0.816,18,241,259,210,77,15,102,161,986,G,2,2.05882352941,0.205479452055,0.0408817635271
Will Barton,SG,26,DEN,60,19,1705,295,666,0.443,87,235,0.37,208,431,0.483,0.508,143,190,0.753,58,201,259,206,48,28,97,110,820,G,2,2.12371134021,0.466666666667,0.0568914956012
Willie Cauley-Stein,C,23,SAC,75,21,1421,255,481,0.53,0,2,0.0,255,479,0.532,0.53,101,151,0.669,85,254,339,80,53,44,69,147,611,C,5,1.15942028986,0.586666666667,0.0485573539761
Willie Reed,C,26,MIA,71,5,1031,162,285,0.568,1,4,0.25,161,281,0.573,0.57,49,88,0.557,129,203,332,26,18,47,31,137,374,C,5,0.838709677419,0.661971830986,0.0300678952473
Willy Hernangomez,C,22,NYK,72,22,1324,246,465,0.529,4,15,0.267,242,450,0.538,0.533,91,125,0.728,170,332,502,96,41,36,100,150,587,C,5,0.96,0.5,0.0755287009063
Wilson Chandler,SF,29,DEN,71,33,2197,433,939,0.461,110,326,0.337,323,613,0.527,0.52,141,194,0.727,103,357,460,141,51,30,114,172,1117,F,3,1.23684210526,0.422535211268,0.0518889394629
Yogi Ferrell,PG,23,TOT,46,29,1197,160,394,0.406,68,176,0.386,92,218,0.422,0.492,74,89,0.831,20,91,111,172,42,9,70,90,462,G,1,2.45714285714,0.195652173913,0.0584795321637
Zach LaVine,SG,21,MIN,47,47,1749,326,710,0.459,120,310,0.387,206,400,0.515,0.544,117,140,0.836,19,141,160,139,41,10,85,104,889,G,2,1.63529411765,0.212765957447,0.0485991995426
Zach Randolph,PF,35,MEM,73,5,1786,433,964,0.449,21,94,0.223,412,870,0.474,0.46,141,193,0.731,182,416,598,122,38,10,99,136,1028,F,4,1.23232323232,0.13698630137,0.055431131019
Zaza Pachulia,C,32,GSW,70,70,1268,164,307,0.534,0,2,0.0,164,305,0.538,0.534,98,126,0.778,140,270,410,132,59,33,87,166,426,C,5,1.51724137931,0.471428571429,0.0686119873817
