Player,Position,Age,Team,Games Played,Games Started,Min Played,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,General Position,Numbered Position,A:T Ratio,Blocks Per Game,TO:MP Ratio
Taj Gibson,PF,31,TOT,78,71,1989,365,709,0.515,3,13,0.231,362,696,0.52,0.517,113,158,0.715,158,327,485,73,41,65,105,163,846,F,4,0.695238095238,0.833333333333,0.052790346908
Tarik Black,C,25,LAL,67,16,1091,150,294,0.51,1,2,0.5,149,292,0.51,0.512,82,109,0.752,144,199,343,39,29,44,58,173,383,C,5,0.672413793103,0.65671641791,0.0531622364803
Taurean Waller-Prince,SF,22,ATL,59,10,981,114,285,0.4,33,102,0.324,81,183,0.443,0.458,74,94,0.787,25,132,157,55,43,27,61,96,335,F,3,0.901639344262,0.457627118644,0.0621814475025
Terrence Jones,PF,25,TOT,54,12,1270,231,492,0.47,19,75,0.253,212,417,0.508,0.489,103,170,0.606,65,241,306,59,40,54,48,67,584,F,4,1.22916666667,1.0,0.0377952755906
Terrence Ross,SF,25,TOT,78,24,1955,326,746,0.437,142,391,0.363,184,355,0.518,0.532,64,77,0.831,18,188,206,88,87,33,68,143,858,F,3,1.29411764706,0.423076923077,0.0347826086957
Terry Rozier,PG,22,BOS,74,0,1263,151,411,0.367,57,179,0.318,94,232,0.405,0.437,51,66,0.773,40,187,227,131,46,11,47,69,410,G,1,2.78723404255,0.148648648649,0.0372129849565
Thabo Sefolosha,SF,32,ATL,62,42,1596,174,395,0.441,41,120,0.342,133,275,0.484,0.492,55,75,0.733,54,216,270,107,96,31,58,97,444,F,3,1.84482758621,0.5,0.0363408521303
Thaddeus Young,PF,28,IND,74,74,2237,362,687,0.527,45,118,0.381,317,569,0.557,0.56,45,86,0.523,131,317,448,122,113,29,95,135,814,F,4,1.28421052632,0.391891891892,0.042467590523
Thomas Robinson,PF,25,LAL,48,1,560,105,196,0.536,0,1,0.0,105,195,0.538,0.536,31,66,0.47,84,139,223,31,26,9,46,76,241,F,4,0.673913043478,0.1875,0.0821428571429
Thon Maker,C,19,MIL,57,34,562,83,181,0.459,28,74,0.378,55,107,0.514,0.536,32,49,0.653,40,74,114,23,10,26,17,84,226,C,5,1.35294117647,0.456140350877,0.0302491103203
Tim Frazier,PG,26,NOP,65,35,1525,163,404,0.403,40,128,0.313,123,276,0.446,0.453,98,129,0.76,34,139,173,335,56,6,101,133,464,G,1,3.31683168317,0.0923076923077,0.0662295081967
Tim Hardaway,SG,24,ATL,79,30,2154,415,912,0.455,149,417,0.357,266,495,0.537,0.537,164,214,0.766,35,189,224,182,55,15,106,103,1143,G,2,1.71698113208,0.189873417722,0.0492107706592
Timofey Mozgov,C,30,LAL,54,52,1104,169,328,0.515,0,1,0.0,169,327,0.517,0.515,63,78,0.808,104,160,264,43,16,31,72,133,401,C,5,0.597222222222,0.574074074074,0.0652173913043
Timothe Luwawu-Cabarrot,SF,21,PHI,69,19,1190,145,361,0.402,50,161,0.311,95,200,0.475,0.471,105,123,0.854,25,124,149,75,32,10,73,154,445,F,3,1.02739726027,0.144927536232,0.0613445378151
Tobias Harris,PF,24,DET,82,48,2567,511,1063,0.481,109,314,0.347,402,749,0.537,0.532,190,226,0.841,63,353,416,142,60,39,96,133,1321,F,4,1.47916666667,0.475609756098,0.0373977405532
Tomas Satoransky,SG,25,WAS,57,3,719,61,147,0.415,9,37,0.243,52,110,0.473,0.446,23,33,0.697,25,58,83,92,26,6,38,60,154,G,2,2.42105263158,0.105263157895,0.0528511821975
Tony Allen,SG,35,MEM,71,66,1914,274,595,0.461,15,54,0.278,259,541,0.479,0.473,80,130,0.615,166,225,391,98,115,29,100,178,643,G,2,0.98,0.408450704225,0.0522466039707
Tony Parker,PG,34,SAS,63,63,1587,265,569,0.466,23,69,0.333,242,500,0.484,0.486,85,117,0.726,9,104,113,285,34,2,89,92,638,G,1,3.20224719101,0.031746031746,0.0560806553245
Tony Snell,SG,25,MIL,80,80,2336,246,541,0.455,144,355,0.406,102,186,0.548,0.588,47,58,0.81,22,226,248,96,55,14,55,125,683,G,2,1.74545454545,0.175,0.0235445205479
Trevor Ariza,SF,31,HOU,80,80,2773,326,798,0.409,191,555,0.344,135,243,0.556,0.528,93,126,0.738,54,404,458,175,147,20,73,133,936,F,3,2.39726027397,0.25,0.0263252794807
Trevor Booker,PF,29,BRK,71,43,1754,305,591,0.516,25,78,0.321,280,513,0.546,0.537,74,110,0.673,143,428,571,138,75,28,127,152,709,F,4,1.08661417323,0.394366197183,0.0724059293044
Trey Burke,PG,24,WAS,57,0,703,116,255,0.455,31,70,0.443,85,185,0.459,0.516,22,29,0.759,7,40,47,100,11,5,48,54,285,G,1,2.08333333333,0.0877192982456,0.0682788051209
Trey Lyles,PF,21,UTA,71,4,1158,159,439,0.362,65,204,0.319,94,235,0.4,0.436,57,79,0.722,48,187,235,69,26,20,64,97,440,F,4,1.078125,0.281690140845,0.0552677029361
Tristan Thompson,C,25,CLE,78,78,2336,262,437,0.6,0,3,0.0,262,434,0.604,0.6,106,213,0.498,286,429,715,77,39,84,64,176,630,C,5,1.203125,1.07692307692,0.027397260274
Troy Daniels,SG,25,MEM,67,3,1183,185,495,0.374,138,355,0.389,47,140,0.336,0.513,43,54,0.796,22,78,100,46,20,4,45,90,551,G,2,1.02222222222,0.0597014925373,0.0380388841927
Ty Lawson,PG,29,SAC,69,24,1732,237,522,0.454,34,118,0.288,203,404,0.502,0.487,173,217,0.797,44,135,179,334,74,6,129,119,681,G,1,2.58914728682,0.0869565217391,0.074480369515
Tyler Ennis,PG,22,TOT,53,2,588,90,208,0.433,27,70,0.386,63,138,0.457,0.498,21,25,0.84,9,36,45,86,25,2,45,58,228,G,1,1.91111111111,0.0377358490566,0.0765306122449
